id,surah_id,number
1,1,1.1
2,1,1.2
3,1,1.3
4,1,1.4
5,1,1.5
6,1,1.6
7,1,1.7
8,1,1.8
9,1,1.9
10,1,1.10
11,1,1.11
12,1,1.12
13,1,1.13
14,1,1.14
15,2,2.1
16,2,2.2
17,2,2.3
18,2,2.4
19,2,2.5
20,2,2.6
21,2,2.7
22,2,2.8
23,2,2.9
24,2,2.10
25,2,2.11
26,2,2.12
27,2,2.13
28,2,2.14
29,2,2.15
30,2,2.16
31,2,2.17
32,2,2.18
33,2,2.19
34,2,2.20
35,2,2.21
36,2,2.22
37,2,2.23
38,2,2.24
39,2,2.25
40,2,2.26
41,2,2.27
42,2,2.28
43,2,2.29
44,2,2.30
45,2,2.31
46,2,2.32
47,2,2.33
48,2,2.34
49,2,2.35
50,2,2.36
51,2,2.37
52,2,2.38
53,2,2.39
54,2,2.40
55,2,2.41
56,2,2.42
57,2,2.43
58,2,2.44
59,2,2.45
60,2,2.46
61,2,2.47
62,2,2.48
63,2,2.49
64,2,2.50
65,2,2.51
66,2,2.52
67,2,2.53
68,2,2.54
69,2,2.55
70,2,2.56
71,2,2.57
72,2,2.58
73,2,2.59
74,2,2.60
75,2,2.61
76,2,2.62
77,2,2.63
78,2,2.64
79,2,2.65
80,2,2.66
81,2,2.67
82,2,2.68
83,2,2.69
84,2,2.70
85,2,2.71
86,2,2.72
87,2,2.73
88,2,2.74
89,2,2.75
90,2,2.76
91,2,2.77
92,2,2.78
93,2,2.79
94,2,2.80
95,2,2.81
96,2,2.82
97,2,2.83
98,2,2.84
99,2,2.85
100,2,2.86
101,2,2.87
102,2,2.88
103,2,2.89
104,2,2.90
105,2,2.91
106,2,2.92
107,2,2.93
108,2,2.94
109,2,2.95
110,2,2.96
111,2,2.97
112,2,2.98
113,2,2.99
114,2,2.100
115,2,2.101
116,2,2.102
117,2,2.103
118,2,2.104
119,2,2.105
120,2,2.106
121,2,2.107
122,2,2.108
123,2,2.109
124,2,2.110
125,2,2.111
126,2,2.112
127,2,2.113
128,2,2.114
129,2,2.115
130,2,2.116
131,2,2.117
132,2,2.118
133,2,2.119
134,2,2.120
135,2,2.121
136,2,2.122
137,2,2.123
138,2,2.124
139,2,2.125
140,2,2.126
141,2,2.127
142,2,2.128
143,2,2.129
144,2,2.130
145,2,2.131
146,2,2.132
147,2,2.133
148,2,2.134
149,2,2.135
150,2,2.136
151,2,2.137
152,2,2.138
153,2,2.139
154,2,2.140
155,2,2.141
156,2,2.142
157,2,2.143
158,2,2.144
159,2,2.145
160,2,2.146
161,2,2.147
162,2,2.148
163,2,2.149
164,2,2.150
165,2,2.151
166,2,2.152
167,2,2.153
168,2,2.154
169,2,2.155
170,2,2.156
171,2,2.157
172,2,2.158
173,2,2.159
174,2,2.160
175,2,2.161
176,2,2.162
177,2,2.163
178,2,2.164
179,2,2.165
180,2,2.166
181,2,2.167
182,2,2.168
183,2,2.169
184,2,2.170
185,2,2.171
186,2,2.172
187,2,2.173
188,2,2.174
189,2,2.175
190,2,2.176
191,2,2.177
192,2,2.178
193,2,2.179
194,2,2.180
195,2,2.181
196,2,2.182
197,2,2.183
198,2,2.184
199,2,2.185
200,2,2.186
201,2,2.187
202,2,2.188
203,2,2.189
204,2,2.190
205,2,2.191
206,2,2.192
207,2,2.193
208,2,2.194
209,2,2.195
210,2,2.196
211,2,2.197
212,2,2.198
213,2,2.199
214,2,2.200
215,2,2.201
216,2,2.202
217,2,2.203
218,2,2.204
219,2,2.205
220,2,2.206
221,2,2.207
222,2,2.208
223,2,2.209
224,2,2.210
225,2,2.211
226,2,2.212
227,2,2.213
228,2,2.214
229,2,2.215
230,2,2.216
231,2,2.217
232,2,2.218
233,2,2.219
234,2,2.220
235,2,2.221
236,2,2.222
237,2,2.223
238,2,2.224
239,2,2.225
240,2,2.226
241,2,2.227
242,2,2.228
243,2,2.229
244,2,2.230
245,2,2.231
246,2,2.232
247,2,2.233
248,2,2.234
249,2,2.235
250,2,2.236
251,2,2.237
252,2,2.238
253,2,2.239
254,2,2.240
255,2,2.241
256,2,2.242
257,2,2.243
258,2,2.244
259,2,2.245
260,2,2.246
261,2,2.247
262,2,2.248
263,2,2.249
264,2,2.250
265,2,2.251
266,2,2.252
267,2,2.253
268,2,2.254
269,2,2.255
270,2,2.256
271,2,2.257
272,2,2.258
273,2,2.259
274,2,2.260
275,2,2.261
276,2,2.262
277,2,2.263
278,2,2.264
279,2,2.265
280,2,2.266
281,2,2.267
282,2,2.268
283,2,2.269
284,2,2.270
285,2,2.271
286,2,2.272
287,2,2.273
288,2,2.274
289,2,2.275
290,2,2.276
291,2,2.277
292,2,2.278
293,2,2.279
294,2,2.280
295,2,2.281
296,2,2.282
297,2,2.283
298,2,2.284
299,2,2.285
300,2,2.286
301,2,2.287
302,2,2.288
303,2,2.289
304,2,2.290
305,2,2.291
306,2,2.292
307,2,2.293
308,2,2.294
309,2,2.295
310,2,2.296
311,2,2.297
312,2,2.298
313,2,2.299
314,2,2.300
315,2,2.301
316,2,2.302
317,2,2.303
318,2,2.304
319,2,2.305
320,2,2.306
321,2,2.307
322,2,2.308
323,2,2.309
324,2,2.310
325,2,2.311
326,2,2.312
327,2,2.313
328,2,2.314
329,2,2.315
330,2,2.316
331,2,2.317
332,2,2.318
333,2,2.319
334,2,2.320
335,2,2.321
336,2,2.322
337,2,2.323
338,2,2.324
339,2,2.325
340,2,2.326
341,2,2.327
342,2,2.328
343,2,2.329
344,2,2.330
345,2,2.331
346,2,2.332
347,2,2.333
348,2,2.334
349,2,2.335
350,2,2.336
351,2,2.337
352,2,2.338
353,2,2.339
354,2,2.340
355,2,2.341
356,2,2.342
357,2,2.343
358,2,2.344
359,2,2.345
360,2,2.346
361,2,2.347
362,2,2.348
363,2,2.349
364,2,2.350
365,2,2.351
366,2,2.352
367,2,2.353
368,2,2.354
369,2,2.355
370,2,2.356
371,2,2.357
372,2,2.358
373,2,2.359
374,2,2.360
375,2,2.361
376,2,2.362
377,2,2.363
378,2,2.364
379,2,2.365
380,2,2.366
381,2,2.367
382,2,2.368
383,2,2.369
384,2,2.370
385,2,2.371
386,2,2.372
387,2,2.373
388,2,2.374
389,2,2.375
390,2,2.376
391,2,2.377
392,2,2.378
393,2,2.379
394,2,2.380
395,2,2.381
396,2,2.382
397,2,2.383
398,2,2.384
399,2,2.385
400,2,2.386
401,2,2.387
402,2,2.388
403,2,2.389
404,2,2.390
405,2,2.391
406,2,2.392
407,2,2.393
408,2,2.394
409,2,2.395
410,2,2.396
411,2,2.397
412,2,2.398
413,2,2.399
414,2,2.400
415,2,2.401
416,2,2.402
417,2,2.403
418,2,2.404
419,2,2.405
420,2,2.406
421,2,2.407
422,2,2.408
423,2,2.409
424,2,2.410
425,2,2.411
426,2,2.412
427,2,2.413
428,2,2.414
429,2,2.415
430,2,2.416
431,2,2.417
432,2,2.418
433,2,2.419
434,2,2.420
435,2,2.421
436,2,2.422
437,2,2.423
438,2,2.424
439,2,2.425
440,2,2.426
441,2,2.427
442,2,2.428
443,2,2.429
444,2,2.430
445,2,2.431
446,2,2.432
447,2,2.433
448,2,2.434
449,2,2.435
450,2,2.436
451,2,2.437
452,2,2.438
453,2,2.439
454,2,2.440
455,2,2.441
456,2,2.442
457,2,2.443
458,2,2.444
459,2,2.445
460,2,2.446
461,2,2.447
462,2,2.448
463,2,2.449
464,2,2.450
465,2,2.451
466,2,2.452
467,2,2.453
468,2,2.454
469,2,2.455
470,2,2.456
471,2,2.457
472,2,2.458
473,2,2.459
474,2,2.460
475,2,2.461
476,2,2.462
477,2,2.463
478,2,2.464
479,2,2.465
480,2,2.466
481,2,2.467
482,2,2.468
483,2,2.469
484,2,2.470
485,2,2.471
486,2,2.472
487,2,2.473
488,2,2.474
489,2,2.475
490,2,2.476
491,2,2.477
492,2,2.478
493,2,2.479
494,2,2.480
495,2,2.481
496,2,2.482
497,2,2.483
498,2,2.484
499,2,2.485
500,2,2.486
501,2,2.487
502,2,2.488
503,2,2.489
504,2,2.490
505,2,2.491
506,2,2.492
507,2,2.493
508,2,2.494
509,2,2.495
510,2,2.496
511,2,2.497
512,2,2.498
513,2,2.499
514,2,2.500
515,2,2.501
516,2,2.502
517,2,2.503
518,2,2.504
519,2,2.505
520,2,2.506
521,2,2.507
522,2,2.508
523,2,2.509
524,2,2.510
525,2,2.511
526,2,2.512
527,2,2.513
528,2,2.514
529,2,2.515
530,2,2.516
531,2,2.517
532,2,2.518
533,2,2.519
534,2,2.520
535,2,2.521
536,2,2.522
537,2,2.523
538,2,2.524
539,2,2.525
540,2,2.526
541,2,2.527
542,2,2.528
543,2,2.529
544,2,2.530
545,2,2.531
546,2,2.532
547,2,2.533
548,2,2.534
549,2,2.535
550,2,2.536
551,2,2.537
552,2,2.538
553,2,2.539
554,2,2.540
555,2,2.541
556,2,2.542
557,2,2.543
558,2,2.544
559,2,2.545
560,2,2.546
561,2,2.547
562,2,2.548
563,2,2.549
564,2,2.550
565,2,2.551
566,2,2.552
567,2,2.553
568,2,2.554
569,2,2.555
570,2,2.556
571,2,2.557
572,2,2.558
573,2,2.559
574,2,2.560
575,2,2.561
576,2,2.562
577,2,2.563
578,2,2.564
579,2,2.565
580,2,2.566
581,2,2.567
582,2,2.568
583,2,2.569
584,2,2.570
585,2,2.571
586,2,2.572
587,2,2.573
588,2,2.574
589,2,2.575
590,2,2.576
591,2,2.577
592,2,2.578
593,2,2.579
594,2,2.580
595,2,2.581
596,2,2.582
597,2,2.583
598,2,2.584
599,2,2.585
600,2,2.586
601,2,2.587
602,2,2.588
603,2,2.589
604,2,2.590
605,2,2.591
606,2,2.592
607,2,2.593
608,2,2.594
609,2,2.595
610,2,2.596
611,2,2.597
612,2,2.598
613,2,2.599
614,2,2.600
615,2,2.601
616,2,2.602
617,2,2.603
618,2,2.604
619,2,2.605
620,2,2.606
621,2,2.607
622,2,2.608
623,2,2.609
624,2,2.610
625,2,2.611
626,2,2.612
627,2,2.613
628,2,2.614
629,2,2.615
630,2,2.616
631,2,2.617
632,2,2.618
633,2,2.619
634,2,2.620
635,2,2.621
636,2,2.622
637,2,2.623
638,2,2.624
639,2,2.625
640,2,2.626
641,2,2.627
642,2,2.628
643,2,2.629
644,2,2.630
645,2,2.631
646,2,2.632
647,2,2.633
648,2,2.634
649,2,2.635
650,2,2.636
651,2,2.637
652,2,2.638
653,2,2.639
654,2,2.640
655,2,2.641
656,2,2.642
657,2,2.643
658,2,2.644
659,2,2.645
660,2,2.646
661,2,2.647
662,2,2.648
663,2,2.649
664,2,2.650
665,2,2.651
666,2,2.652
667,2,2.653
668,2,2.654
669,2,2.655
670,2,2.656
671,2,2.657
672,2,2.658
673,2,2.659
674,2,2.660
675,2,2.661
676,2,2.662
677,2,2.663
678,2,2.664
679,2,2.665
680,2,2.666
681,2,2.667
682,2,2.668
683,2,2.669
684,2,2.670
685,2,2.671
686,2,2.672
687,2,2.673
688,2,2.674
689,2,2.675
690,2,2.676
691,2,2.677
692,2,2.678
693,2,2.679
694,2,2.680
695,2,2.681
696,2,2.682
697,2,2.683
698,2,2.684
699,2,2.685
700,2,2.686
701,2,2.687
702,2,2.688
703,2,2.689
704,2,2.690
705,2,2.691
706,2,2.692
707,2,2.693
708,2,2.694
709,2,2.695
710,2,2.696
711,2,2.697
712,2,2.698
713,2,2.699
714,2,2.700
715,2,2.701
716,2,2.702
717,2,2.703
718,2,2.704
719,2,2.705
720,2,2.706
721,2,2.707
722,2,2.708
723,2,2.709
724,2,2.710
725,2,2.711
726,2,2.712
727,2,2.713
728,2,2.714
729,2,2.715
730,2,2.716
731,2,2.717
732,2,2.718
733,2,2.719
734,2,2.720
735,2,2.721
736,2,2.722
737,2,2.723
738,2,2.724
739,2,2.725
740,2,2.726
741,2,2.727
742,2,2.728
743,2,2.729
744,2,2.730
745,2,2.731
746,2,2.732
747,2,2.733
748,2,2.734
749,2,2.735
750,2,2.736
751,2,2.737
752,2,2.738
753,2,2.739
754,2,2.740
755,2,2.741
756,2,2.742
757,2,2.743
758,2,2.744
759,2,2.745
760,2,2.746
761,2,2.747
762,2,2.748
763,2,2.749
764,2,2.750
765,2,2.751
766,2,2.752
767,2,2.753
768,2,2.754
769,2,2.755
770,2,2.756
771,2,2.757
772,2,2.758
773,2,2.759
774,2,2.760
775,2,2.761
776,2,2.762
777,2,2.763
778,2,2.764
779,2,2.765
780,2,2.766
781,2,2.767
782,2,2.768
783,2,2.769
784,2,2.770
785,2,2.771
786,2,2.772
787,2,2.773
788,2,2.774
789,2,2.775
790,2,2.776
791,2,2.777
792,2,2.778
793,2,2.779
794,2,2.780
795,2,2.781
796,2,2.782
797,2,2.783
798,2,2.784
799,2,2.785
800,2,2.786
801,2,2.787
802,2,2.788
803,2,2.789
804,2,2.790
805,2,2.791
806,2,2.792
807,2,2.793
808,2,2.794
809,2,2.795
810,2,2.796
811,2,2.797
812,2,2.798
813,2,2.799
814,2,2.800
815,2,2.801
816,2,2.802
817,2,2.803
818,2,2.804
819,2,2.805
820,2,2.806
821,2,2.807
822,2,2.808
823,2,2.809
824,2,2.810
825,2,2.811
826,2,2.812
827,2,2.813
828,2,2.814
829,2,2.815
830,2,2.816
831,2,2.817
832,2,2.818
833,2,2.819
834,2,2.820
835,2,2.821
836,2,2.822
837,2,2.823
838,2,2.824
839,2,2.825
840,2,2.826
841,2,2.827
842,2,2.828
843,2,2.829
844,2,2.830
845,3,3.1
846,3,3.2
847,3,3.3
848,3,3.4
849,3,3.5
850,3,3.6
